smiles,group,LogS
O=C(OCC(=O)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)C,training,-4.4580002
O=C(OCC(=O)[C@]1(O)[C@]2(C)C(C3C(C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)C,training,-4.3039999
O=C1C(CC)(c2ccccc2)C(=O)NC(=O)N1,training,-2.3210001
O=C1N(C)C(=O)NC(=O)C1(CC)CC,training,-2.0
O=C(OCC(O)(CC)c1ccccc1)N,training,-0.92299998
O=C(CO)[C@@H]1[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,-3.2409999
O=C(CO)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,training,-3.0539999
O=C(CO)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1,training,-3.2090001
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,training,-7.809
Clc1c(C(=O)O)c(Cl)ccc1Cl,training,-1.467
c12c3c4ccc1c1c(cc2ccc3ccc4)cccc1,training,-8.1920004
O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccccc1,training,-3.812
N(CCCN1c2c(cccc2)CCc2c1cccc2)C,training,-3.658
N(CCC=C1c2c(cccc2)CCc2c1cccc2)(C)C,training,-4.4559999
N(CCCN1c2c(cccc2)CCc2c1cccc2)(C)C,training,-4.1880002
Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,training,-5.0970001
O=C(Oc1c(C(=O)O)cccc1)C,training,-1.5930001
Clc1c(Cl)cc(C(=O)O)c(Cl)c1,training,-2.4449999
O(CCOCCCC)CCOCc1c(CCC)cc2OCOc2c1,training,-4.3740001
[nH]1c2c(nc1)cccc2,training,-1.7690001
FC=1C(=O)NC(=O)NC=1,training,-1.069
O=[N+]([O-])c1c(O)ccc([N+](=O)[O-])c1,training,-1.819
O=C(O)C1NCC(O)C1,training,0.44
O[C@@H](CNC)c1cc(O)c(O)cc1,training,-3.0079999
Oc1ccc(CCN)cc1,training,-1.12
S(C(=O)C)[C@H]1C2C3[C@@](C)([C@@]4(OC(=O)CC4)CC3)CCC2[C@]2(C)C(=CC(=O)CC2)C1,training,-4.277
O=C(OCC(=O)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1)C,training,-4.369
S=P(N1CC1)(N1CC1)N1CC1,training,0.002
O=C1C(CC=C)(CC=C)C(=O)NC(=O)N1,training,-2.0610001
O=C(O)C1(N)CCCC1,training,-0.412
SC(C(N)C(=O)O)(C)C,training,-0.12800001
ClC(Cl)(Cl)C(P(=O)(OC)OC)O,training,-0.331
O=C1[C@]2(C)C(C3C(c4c(cc(O)cc4)CC3)CC2)CC1,training,-3.9549999
ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,training,-6.505000099999998
O=C1[C@]2(C)C(C3C([C@]4(C)C(=CC3)C[C@@H](O)CC4)CC2)CC1,training,-3.6570001
Clc1ccc(C(=O)n2c(C)c(CC(=O)O)c3c2ccc(OC)c3)cc1,training,-5.5819998
O=NN(CC)CC,training,0.016000001
O=C(N)c1ccccc1,training,-0.95300001
O=C(O)c1ccncc1,training,-1.374
Clc1ccc(NC(NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)=N)cc1,training,-2.8010001
P(F)(=O)(OC(C)C)OC(C)C,training,-1.0779999
