smiles,LogS
O=C(OCC(=O)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)C,-4.4580002
O=C(OCC(=O)[C@]1(O)[C@]2(C)C(C3C(C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1)C,-4.3039999
O=C1C(CC)(c2ccccc2)C(=O)NC(=O)N1,-2.3210001
O=C1N(C)C(=O)NC(=O)C1(CC)CC,-2.0
O=C(OCC(O)(CC)c1ccccc1)N,-0.92299998
O=C(CO)[C@@H]1[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,-3.2409999
O=C(CO)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,-3.0539999
O=C(CO)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1,-3.2090001
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-7.809
Clc1c(C(=O)O)c(Cl)ccc1Cl,-1.467
c12c3c4ccc1c1c(cc2ccc3ccc4)cccc1,-8.1920004
O=C1N(N(c2ccccc2)C(=O)C1CCCC)c1ccccc1,-3.812
N(CCCN1c2c(cccc2)CCc2c1cccc2)C,-3.658
N(CCC=C1c2c(cccc2)CCc2c1cccc2)(C)C,-4.4559999
N(CCCN1c2c(cccc2)CCc2c1cccc2)(C)C,-4.1880002
Clc1cc2N(CCCN(C)C)c3c(Sc2cc1)cccc3,-5.0970001
O=C(Oc1c(C(=O)O)cccc1)C,-1.5930001
Clc1c(Cl)cc(C(=O)O)c(Cl)c1,-2.4449999
O(CCOCCCC)CCOCc1c(CCC)cc2OCOc2c1,-4.3740001
[nH]1c2c(nc1)cccc2,-1.7690001
FC=1C(=O)NC(=O)NC=1,-1.069
O=[N+]([O-])c1c(O)ccc([N+](=O)[O-])c1,-1.819
O=C(O)C1NCC(O)C1,0.44
O[C@@H](CNC)c1cc(O)c(O)cc1,-3.0079999
Oc1ccc(CCN)cc1,-1.12
S(C(=O)C)[C@H]1C2C3[C@@](C)([C@@]4(OC(=O)CC4)CC3)CCC2[C@]2(C)C(=CC(=O)CC2)C1,-4.277
O=C(OCC(=O)[C@]1(O)[C@]2(C)C(C3C([C@@H](O)C2)[C@]2(C)C(=CC(=O)C=C2)CC3)CC1)C,-4.369
S=P(N1CC1)(N1CC1)N1CC1,0.002
O=C1C(CC=C)(CC=C)C(=O)NC(=O)N1,-2.0610001
O=C(O)C1(N)CCCC1,-0.412
SC(C(N)C(=O)O)(C)C,-0.12800001
ClC(Cl)(Cl)C(P(=O)(OC)OC)O,-0.331
O=C1[C@]2(C)C(C3C(c4c(cc(O)cc4)CC3)CC2)CC1,-3.9549999
ClC(Cl)C(c1c(Cl)cccc1)c1ccc(Cl)cc1,-6.505000099999998
O=C1[C@]2(C)C(C3C([C@]4(C)C(=CC3)C[C@@H](O)CC4)CC2)CC1,-3.6570001
Clc1ccc(C(=O)n2c(C)c(CC(=O)O)c3c2ccc(OC)c3)cc1,-5.5819998
O=NN(CC)CC,0.016000001
O=C(N)c1ccccc1,-0.95300001
O=C(O)c1ccncc1,-1.374
Clc1ccc(NC(NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(Cl)cc2)=N)cc1,-2.8010001
P(F)(=O)(OC(C)C)OC(C)C,-1.0779999
ClC(Cl)(Cl)Cl,-2.2880001
O=C1[C@]2(C)[C@](C)(C(=O)O1)C1OC2CC1,-3.816
O=C1N(C)C(=O)NC(=O)C1(C)C1=CCCCC1,-2.7349999
O=C(O)[C@@H](N)CO,0.60699999
O=C(OCC(=O)[C@@H]1[C@]2(C)C(C3C([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)C,-4.630000099999998
Cc1c2c3c(cc4c5c(ccc4c3CC2)cccc5)cc1,-7.966000099999999
Oc1ccc(/C(=C(\CC)/c2ccc(O)cc2)/CC)cc1,-4.3499999
ClC(Cl)C(=O)N[C@@H]([C@H](O)c1ccc([N+](=O)[O-])cc1)CO,-2.1110001
OC(CO)CO,1.036
O=CC(O)CO,-0.48899999
O=C(O)[C@H](N)CC(=O)O,-1.395
S(SC[C@H](N)C(=O)O)C[C@H](N)C(=O)O,-3.102
O=C(O)CN(C(=N)N)C,-0.99400002
S=C=NCC=C,-1.6950001
O=C(O)CCCCCCCCCCCCCCC,-6.807000200000001
O=C(N)N,0.958
ClC(Cl)(Cl)C(O)(C)C,-1.346
O=C1N2c3c(cccc3)[C@@]34C2C2C(OCC=C5C2CC3N(C5)CC4)C1,-3.3199999
O[C@@H]1[C@@H]2Oc3c(O)ccc4c3[C@@]32[C@H]([C@@H](N(C)CC3)C4)C=C1,-3.2820001000000003
O=C(OCC)C1(c2ccccc2)CCN(C)CC1,-1.885
O=C1C(CCC(C)C)(CC)C(=O)NC(=O)N1,-2.5739999
O=C1C(CC)(CC)C(=O)NC(=O)N1,-1.393
O=C([C@H](O)[C@@H](O)[C@@H](O)CO)CO,0.63499999
OC(CO)C,1.119
O=C1OCC1,0.70999998
Clc1c2[C@](O)(C)C3C(C(=O)c2c(O)cc1)=C(O)[C@]1(O)C(=O)C(C(=O)N)=C(O)[C@@H](N(C)C)C1C3,-2.881
Oc1cc2c(cc1)C1C(C3[C@@](C)([C@](O)(C#C)CC3)CC1)CC2,-4.4190001
O=C(C)[C@@H]1[C@]2(C)C(C3C([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1,-4.553
O=C(O[C@@H]1[C@]2(C)C(C3C([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)CC,-5.367000099999999
O[C@@H]1CC=2[C@@](C)(C3C(C4[C@@](C)([C@@H]([C@H](CCCC(C)C)C)CC4)CC3)CC=2)CC1,-6.610000099999999
O[C@H]1[C@]2(C)C(C3C(c4c(cc(O)cc4)CC3)CC2)CC1,-4.8439999
Oc1c(O)ccc2c1-c1c3c(ccc1)CCN(C)C3C2,-1.207
O=C1N(C)C(=O)c2n(C)cnc2N1C,-0.954
O=C1N(N(C)C(C)=C1N(C)C)c1ccccc1,-0.62900001
O=C1C=C2[C@@](C)(C3C(C4[C@@](C)([C@](O)(C)CC4)CC3)CC2)CC1,-3.95
O=C1C(C)=CC(=O)c2c1cccc2,-3.0320001
O([As]1c2c(Oc3c1cccc3)cccc2)[As]1c2c(Oc3c1cccc3)cccc2,-5.0019999
Clc1cc2N(CCCN3CCN(C)CC3)c3c(Sc2cc1)cccc3,-4.3969998
Clc1cc2N(CCCN3CCN(CCO)CC3)c3c(Sc2cc1)cccc3,-4.1550002
O=C1N=CNc2n(C3C(O)C(O)C(CO)O3)cnc12,-1.23
O(C)c1c(OC)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1,-3.987
Clc1c(Cl)c(Cl)cc(Cl)c1O,-4.0040002
